"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
2,0,0,21,0,0,19,0,6,0,0,0,0,0,0,30,1,3,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,16,1,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,0,1,2,0,1,0,3,0,0,1,0,1
0,0,0,2,0,0,6,0,4,0,0,0,0,0,0,6,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0
6,0,0,54,0,0,52,1,23,0,0,1,0,0,0,71,0,3,0,0,0,162,0,1,2,0,0,0,0,0,0,1,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,41,1,0,63,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,6,0,0,0,11,0,1,0,0,0,0,0,5,0,1,6,0,1,0,15,1,7,0,0,1
10,0,1,14,0,1,5,1,7,2,1,3,0,0,2,3,0,2,2,0,1,2,0,5,2,0,0,1,0,3,0,14,1,2,1,2,2,0,7,0,0,0,0,0,0,1,0,0,35,0,0,16,0,0,8,0,0,4,2,1,1,0,0,0,0,0,0,7,0,2,10,19,2,0,0,89,1,2,1,30,2,3,3,2,0,0,0,8,0,1,26,1,11,0,44,1,23,7,1,7
0,0,0,0,23,0,0,0,0,3,4,2,1,2,0,0,9,0,0,1,0,0,13,3,1,58,131,5,0,0,104,0,6,1,24,0,0,12,3,0,0,7,0,5,1,0,0,19,0,2,0,1,0,0,0,0,0,0,0,0,8,0,6,7,0,22,17,1,2,2,1,0,4,0,12,1,9,0,25,1,4,3,3,4,144,30,9,0,1,2,1,16,1,34,0,1,0,4,10,2
0,2,0,0,0,1,0,8,0,0,0,0,16,24,4,0,0,0,0,1,1,0,0,1,0,0,0,0,22,2,0,1,0,4,1,0,1,2,0,1,76,7,6,0,6,1,0,2,1,0,26,1,2,0,0,13,2,0,3,0,4,35,0,0,29,2,0,0,16,0,0,1,6,13,4,0,2,8,0,0,0,2,3,0,1,1,0,0,44,0,0,0,0,0,0,4,0,2,0,0
27,0,0,23,1,0,9,0,10,1,1,7,0,0,1,8,2,6,4,0,2,5,0,4,6,2,0,5,0,3,1,19,1,5,1,2,0,1,8,6,0,0,0,1,0,1,0,1,60,0,0,13,0,0,14,2,0,13,2,7,0,0,0,0,1,0,0,14,0,2,20,27,4,1,1,125,5,0,1,60,1,15,8,0,0,1,1,4,0,2,26,1,13,1,67,0,47,8,1,21
0,0,0,0,30,0,0,0,0,1,6,1,4,3,0,0,7,0,0,2,0,0,10,5,2,49,112,5,0,0,143,0,3,1,11,1,0,11,4,0,0,15,0,4,0,0,0,17,1,3,0,0,0,0,0,1,0,0,0,1,3,1,0,8,0,18,10,4,0,0,0,1,9,0,12,0,8,0,31,0,5,0,0,0,93,44,5,0,1,3,0,22,2,31,0,4,0,3,13,0
4,0,0,49,0,0,69,0,23,0,0,0,0,0,0,87,0,3,0,0,2,160,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,10,0,0,43,2,0,73,0,0,1,2,2,0,0,0,0,0,0,0,2,0,1,6,8,1,0,0,15,0,0,0,4,0,1,0,0,0,0,0,10,0,0,2,0,1,0,20,1,6,0,0,2
32,0,0,1,0,0,0,0,5,4,4,17,0,0,0,2,7,1,64,0,0,0,2,2,7,1,0,5,0,0,0,3,14,0,0,115,1,2,2,0,0,0,0,6,0,0,0,1,2,12,0,4,0,0,4,0,0,76,0,141,1,0,6,1,0,0,2,8,0,19,30,1,0,0,0,3,1,0,0,12,3,1,0,4,0,0,3,23,0,11,9,0,11,2,5,0,1,2,0,9
1,6,0,4,0,7,10,0,2,0,0,0,1,0,3,6,0,128,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,0,0,5,0,0,0,0,0,6,5,0,10,0,0,3,2,3,3,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0
0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,4,0,2,0,0,0,6,1,0,0,0,0,0,3,0,1,0,0,0,0,2,0
0,1,3,0,4,0,0,11,0,0,0,1,23,26,3,0,0,0,0,3,3,0,0,1,0,1,0,2,22,9,0,1,0,8,2,0,1,3,0,1,103,3,12,0,13,2,0,3,0,0,26,0,3,0,0,28,2,0,3,0,3,38,0,0,26,0,1,0,7,0,1,1,3,7,8,0,0,11,1,0,0,1,3,0,0,0,0,0,60,0,0,0,0,1,0,9,0,1,2,0
14,0,0,2,0,0,0,0,6,3,2,5,0,0,0,1,1,1,31,0,0,0,0,1,8,0,0,1,0,0,0,2,4,0,0,26,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,2,0,0,1,0,0,29,0,67,0,0,2,0,0,0,0,3,0,5,6,0,0,0,0,2,0,0,0,3,1,0,0,1,0,0,1,6,0,12,4,0,5,0,5,0,1,0,0,2
1,0,0,0,11,0,0,0,0,0,1,2,1,0,0,0,4,0,0,0,0,0,6,0,4,18,60,1,0,2,42,0,1,0,7,0,0,6,1,0,1,5,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,1,1,0,3,0,1,5,0,4,8,0,0,0,0,0,0,0,3,0,3,0,11,0,4,1,0,0,53,17,5,0,1,1,0,4,0,3,0,2,0,1,5,2
0,0,0,0,3,0,0,0,0,0,0,0,4,3,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,2,1,0,1,2,1,0,1,1,0,2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,16,1,0,0,1,2,0,1,2,0,0,1,5,0,1,0,2,1,3,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0,1,6,0
0,2,6,0,1,0,0,30,0,0,1,0,34,51,1,0,0,0,0,6,3,0,0,3,1,0,1,0,38,7,0,0,1,4,4,0,2,2,0,3,119,9,7,0,16,0,1,3,1,0,39,1,4,0,0,27,6,0,3,0,9,52,0,0,69,3,0,0,18,0,0,0,4,17,9,0,1,12,0,0,1,3,4,0,0,4,0,0,86,0,0,1,0,0,0,7,0,2,5,0
13,0,0,0,0,0,0,0,2,5,0,6,0,0,0,1,1,0,28,0,0,1,0,0,2,2,0,0,0,0,0,1,3,0,0,30,0,0,0,0,0,0,0,0,0,0,0,1,2,5,0,0,0,0,1,0,0,33,0,46,0,0,0,0,0,0,0,4,0,7,7,1,0,0,0,1,0,0,0,3,0,1,1,3,0,0,2,5,0,12,2,0,6,0,1,0,1,1,0,4
4,0,0,18,0,0,24,0,7,0,0,1,0,0,0,36,0,3,1,0,0,63,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,4,0,0,23,0,0,18,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,3,1,0,0,2,0,0,0,1,0,0,0,3,0,0,4,0,1,0,7,0,5,0,0,1
1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,3,1,0,0,0,14,0,0,0,8,0,2,0,0,0,0,0,0,0,0,5,0,0,0,13,0,7,2,2,2
1,0,5,0,2,2,0,23,0,0,0,0,15,24,3,0,0,1,0,2,2,0,0,1,0,0,1,0,14,3,0,0,0,5,7,0,1,0,1,1,77,3,8,0,8,0,0,3,0,1,26,0,4,0,0,12,1,0,1,0,4,28,0,0,32,3,0,0,9,0,0,1,4,11,7,0,2,12,1,0,0,1,3,0,0,1,0,0,32,0,0,0,0,3,0,4,1,1,2,0
0,2,5,0,3,1,0,17,0,0,0,0,37,33,0,0,0,0,0,4,1,0,0,1,1,0,3,0,24,8,0,0,0,6,5,0,1,0,1,0,110,11,10,0,13,1,1,2,1,0,31,0,6,1,0,14,6,0,7,0,8,52,0,0,42,5,0,1,30,0,0,0,9,12,6,0,3,12,0,0,0,1,8,0,0,1,0,0,60,0,0,0,0,0,0,7,0,0,1,0
0,0,0,0,36,0,0,0,0,1,6,1,1,2,0,0,4,0,0,0,0,0,6,4,3,58,110,8,0,3,135,1,1,0,22,1,0,13,2,0,2,10,0,2,0,0,0,12,1,4,0,0,0,0,0,0,0,0,1,0,5,0,3,8,0,24,16,3,0,2,0,0,7,0,6,1,2,0,30,0,7,1,3,2,100,31,3,0,0,1,0,24,1,20,0,0,0,4,11,0
1,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,4,3,1,14,39,1,0,0,24,0,0,0,3,0,1,2,0,0,0,3,0,0,1,0,0,7,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,6,2,2,0,0,0,0,2,0,3,0,2,0,7,0,1,0,0,1,46,8,1,0,0,1,0,8,0,9,0,1,0,1,3,0
3,0,2,0,13,0,0,2,0,2,1,1,18,12,1,0,0,0,0,3,1,0,0,16,3,5,5,5,4,14,7,2,0,9,10,0,3,7,5,0,12,18,1,1,6,0,0,19,0,1,3,0,2,1,0,23,1,0,5,0,105,6,1,0,6,8,0,1,4,0,0,3,29,0,29,0,14,1,6,4,0,8,12,1,2,8,1,0,22,0,0,6,0,6,0,20,1,13,23,2
3,16,7,11,0,12,19,0,2,1,0,1,0,2,11,12,0,311,0,0,9,7,0,0,2,0,0,0,1,1,0,1,0,4,0,0,16,0,0,16,0,0,2,0,3,10,12,0,6,0,0,4,8,8,9,0,9,1,2,0,0,0,0,0,0,0,0,1,0,1,1,13,0,1,0,6,1,0,0,3,1,6,2,0,0,0,0,0,1,0,6,0,1,0,9,0,20,1,0,2
0,0,0,0,3,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,3,0,1,0,2,1,0,0,0,0,2,1,0,1,2,1,0,2,1,0,0,1,0,0,7,0,1,0,0,1,0,0,3,0,0,0,0,20,1,0,0,0,3,0,0,1,0,1,0,12,0,5,0,1,0,0,0,0,1,6,0,0,0,0,0,1,0,0,1,0,1,0,4,0,3,3,1
0,0,0,0,1,0,0,1,0,0,0,0,4,11,1,0,0,0,0,2,1,0,0,0,0,0,0,0,6,1,0,0,0,2,2,0,1,0,0,0,13,2,3,0,1,0,0,1,0,0,11,0,1,0,0,4,0,0,2,0,4,9,0,0,3,0,0,0,3,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,9,0,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2,3,0,10,28,1,1,0,31,0,1,0,2,0,1,5,1,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,4,0,2,1,0,8,4,1,0,0,0,1,1,0,4,0,1,0,5,0,2,0,0,0,30,10,3,0,0,0,1,5,0,7,0,0,0,0,3,0
4,0,0,0,0,0,0,0,3,4,1,2,0,0,0,0,2,0,6,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,16,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,11,1,28,0,0,1,0,0,0,0,1,0,5,6,1,0,0,0,1,0,0,0,3,0,0,0,3,0,0,0,8,0,2,1,0,4,0,1,0,0,1,0,0
0,2,2,0,1,0,0,24,0,0,1,0,31,29,3,0,0,0,0,1,1,0,0,1,2,0,1,2,22,4,0,0,0,2,0,0,3,1,1,0,116,11,8,0,14,5,1,2,0,0,34,0,8,0,0,26,3,0,4,0,10,46,0,0,35,2,0,0,22,0,0,0,5,11,4,0,1,15,0,0,0,1,6,0,0,2,0,0,63,0,0,0,0,0,0,10,1,0,3,0
0,2,0,0,2,0,0,24,0,0,0,0,30,20,0,0,0,0,0,5,1,0,0,1,0,0,0,1,9,5,0,1,0,7,2,0,1,1,0,2,91,5,5,0,7,2,0,2,0,0,25,0,2,3,0,7,1,0,2,0,7,31,0,0,35,0,0,0,16,0,0,0,6,11,4,0,1,9,0,0,0,2,3,0,1,0,0,0,43,0,0,0,0,1,0,5,0,1,2,0
0,0,0,0,12,0,0,0,0,2,6,0,1,0,0,0,5,0,0,0,1,0,3,3,2,13,45,0,0,2,45,1,0,1,3,0,1,8,1,1,0,5,0,1,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,3,0,2,2,1,13,9,0,0,1,0,0,1,0,6,0,2,0,10,0,7,0,0,3,48,14,3,0,1,0,1,13,1,8,0,1,0,0,5,0
8,1,1,56,0,1,81,1,27,0,0,0,0,0,2,120,0,12,2,0,0,236,0,1,2,0,0,1,0,0,0,3,0,1,0,1,1,0,0,2,0,0,0,0,1,0,0,1,18,0,0,61,1,0,97,0,2,3,0,3,0,0,0,0,0,0,0,4,0,1,7,8,0,1,0,9,0,0,0,7,1,1,0,1,0,0,0,23,1,1,6,0,4,1,20,0,6,1,0,2
0,0,0,0,0,1,0,2,0,0,0,0,9,10,0,0,0,0,0,2,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,22,1,2,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,1,11,0,0,6,0,0,0,6,0,0,0,1,5,6,0,0,2,1,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0
0,0,2,0,20,1,0,4,0,2,4,3,13,9,2,0,3,0,0,0,1,0,0,10,0,3,7,2,4,13,7,0,0,5,4,0,0,9,6,2,12,11,0,1,6,0,0,23,1,0,2,1,1,0,0,24,0,0,9,0,75,6,0,0,3,6,0,0,6,0,1,1,33,3,26,2,11,2,5,0,0,5,10,2,3,14,1,0,13,0,0,6,1,9,0,12,0,7,21,0
0,0,0,0,37,0,0,0,0,1,6,0,1,1,0,0,4,0,0,1,0,0,7,8,3,45,105,8,0,2,122,0,1,0,17,0,0,18,3,0,0,9,0,0,1,0,0,27,0,1,0,0,1,0,0,1,0,0,1,1,7,3,2,8,1,23,11,2,1,0,2,0,0,0,10,0,7,0,42,1,12,0,0,2,108,28,4,0,0,2,2,12,1,25,0,1,0,4,12,0
3,1,0,39,1,1,57,0,19,0,0,0,0,0,1,65,0,3,0,0,1,112,0,1,1,0,0,0,0,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,7,0,0,35,0,0,64,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,2,5,0,0,0,5,0,0,0,3,0,2,0,0,0,0,0,5,0,0,3,0,0,0,12,0,3,0,0,1
1,17,5,19,0,12,25,0,3,0,0,0,0,1,16,14,0,301,1,0,4,12,0,3,0,0,0,1,0,7,0,1,0,3,0,0,13,1,1,15,0,0,2,0,1,15,12,0,6,0,0,5,6,5,8,3,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,13,1,0,0,11,0,0,0,3,0,4,2,0,0,0,0,0,0,0,0,0,1,0,4,1,12,4,0,2
0,0,0,2,0,0,6,0,2,0,0,0,0,0,0,7,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,4,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,3,0,0,0,0,1,0,25,1,0,0,1,0,0,0,0,0,2,0,0,0,0,4,1,0,0,0,1,10,0,0,4,0,0,0,3,0,0,0,2,3,2,0,0,3,0,0,0,0,0,0,2,0,0,0,16,0,0,1,0,0,0,2,0,0,0,0
25,0,0,0,0,0,0,0,5,8,3,8,0,0,0,1,1,0,59,0,0,0,0,0,22,2,0,7,0,0,0,6,4,0,0,66,1,0,0,0,0,0,0,7,0,0,0,1,0,4,0,4,0,0,6,0,0,67,0,151,0,0,4,1,0,1,0,7,0,20,19,2,0,0,0,4,1,0,0,11,3,0,1,7,0,1,4,23,0,25,14,2,9,0,2,0,0,2,2,5
12,0,0,1,0,0,0,0,3,4,3,4,0,0,0,0,0,0,17,0,0,2,1,1,2,0,1,2,0,0,0,4,1,0,0,34,0,0,2,0,0,0,0,3,0,0,0,0,2,2,0,2,0,0,2,0,0,23,0,55,0,0,2,0,0,0,0,12,0,6,7,0,0,0,0,1,0,0,0,5,0,0,0,4,0,0,3,4,0,12,3,2,2,0,2,0,3,1,0,1
0,0,1,0,21,1,0,2,0,1,3,1,18,10,1,0,2,0,0,5,0,0,0,18,1,4,3,2,3,7,9,5,0,15,14,1,1,8,10,1,6,13,0,1,6,1,0,32,1,2,3,0,2,2,0,26,1,0,7,0,109,11,0,0,4,12,2,2,5,0,1,2,41,1,44,1,13,1,7,1,2,10,16,0,3,12,1,0,19,1,0,2,5,14,1,22,3,7,26,1
0,0,0,0,39,0,0,0,0,0,4,2,3,0,0,0,4,0,0,2,0,0,8,3,2,52,68,4,0,2,108,1,1,0,13,0,0,15,2,0,0,8,0,0,0,0,0,14,0,2,0,0,0,0,0,1,0,0,2,1,9,1,0,6,0,21,16,1,0,0,0,0,2,1,10,0,7,0,42,1,16,0,4,3,84,26,5,0,1,1,0,15,0,22,0,0,1,1,16,0
0,0,0,0,3,0,0,1,0,0,1,0,6,3,0,0,1,0,0,1,0,0,0,1,1,0,1,0,2,3,2,0,0,2,5,0,0,4,1,0,1,5,1,0,2,0,0,8,0,1,2,0,1,0,0,4,0,0,3,0,35,0,0,0,0,3,0,0,0,0,0,0,15,0,6,0,2,0,2,0,1,0,4,0,2,5,0,0,2,0,0,1,0,2,0,6,0,2,3,1
26,1,1,28,0,2,8,0,6,4,4,5,0,0,1,9,1,1,4,0,1,6,0,10,6,1,2,6,0,2,0,31,1,2,1,5,7,1,8,13,0,0,0,0,1,0,0,0,67,1,0,26,0,0,17,2,0,15,8,3,0,0,1,0,0,0,0,12,0,2,24,38,0,2,1,145,4,0,3,54,0,9,2,1,0,0,0,7,0,2,39,1,20,0,88,3,49,9,2,20
8,0,0,49,0,1,69,0,12,0,0,2,0,1,0,57,0,6,0,0,1,149,0,0,0,0,1,1,0,1,0,1,0,2,0,1,1,1,1,0,0,0,0,0,0,2,0,1,8,0,0,42,0,0,65,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,4,0,0,0,9,0,1,0,0,0,0,0,6,0,1,4,0,1,0,7,0,5,0,0,4
0,0,1,0,20,0,0,0,0,3,6,0,0,4,0,0,7,0,0,0,0,0,8,4,4,36,90,5,0,0,88,0,2,0,13,0,0,12,1,0,0,3,0,1,0,0,0,6,1,3,0,0,0,0,0,1,0,0,1,0,7,1,2,2,0,12,15,2,1,0,0,0,6,0,7,0,7,0,19,0,14,1,0,3,111,25,8,0,1,0,1,20,1,26,0,1,0,3,4,2
6,0,0,5,2,0,1,0,1,0,1,0,0,0,0,2,0,0,1,0,1,2,0,0,4,0,1,2,0,0,0,4,0,3,0,1,1,1,3,0,1,0,0,0,2,0,0,0,11,0,0,9,0,0,2,0,0,2,1,0,1,0,0,0,0,0,0,3,0,0,7,9,0,0,0,27,2,0,0,10,0,3,0,0,0,0,0,0,0,0,5,0,3,0,11,1,5,3,0,2
1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,8,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,9,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0
0,0,1,0,1,0,0,6,0,0,1,0,12,9,0,0,0,0,0,0,1,0,0,2,0,1,0,0,5,1,1,0,0,2,1,0,1,1,0,0,32,2,3,0,4,0,1,1,0,0,8,0,0,0,0,4,2,0,0,0,7,13,0,0,12,2,0,1,5,0,0,0,1,4,2,1,0,4,0,0,0,0,2,0,0,0,0,0,17,0,0,0,0,0,0,3,0,0,1,0
7,0,0,64,0,1,81,0,22,0,0,0,0,0,0,85,0,7,0,0,0,195,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,13,0,0,44,0,1,81,0,1,2,0,2,0,0,0,0,0,0,0,2,0,0,5,2,0,0,0,16,0,0,0,5,1,2,1,0,0,0,0,8,0,0,7,0,1,0,15,1,7,0,0,1
0,0,0,0,20,0,0,1,0,0,0,1,14,14,2,0,2,0,0,1,0,1,1,8,1,4,3,3,5,6,1,0,2,8,11,0,3,4,6,0,12,13,1,0,6,1,0,23,1,0,2,0,2,0,0,21,0,0,2,0,93,3,0,2,2,11,0,0,3,0,1,1,30,2,19,0,8,0,5,0,0,4,14,1,3,15,3,0,11,0,1,2,0,12,1,27,2,10,13,2
20,0,0,0,0,0,0,0,2,5,1,11,0,0,0,1,3,0,46,0,0,2,0,1,13,0,1,3,0,0,0,6,5,0,0,45,0,0,2,1,0,0,0,4,0,0,0,1,0,8,0,4,0,0,3,0,0,50,1,91,1,0,3,0,0,0,0,4,0,15,19,1,1,0,0,6,3,0,0,6,0,0,0,4,0,0,4,16,0,15,7,2,8,0,6,0,1,1,0,6
39,0,0,8,0,0,4,0,12,3,4,17,1,0,0,1,4,0,67,0,0,1,0,1,20,1,0,8,0,1,0,17,8,0,0,108,0,0,3,0,0,0,0,7,0,1,0,1,4,13,0,4,0,0,3,0,0,91,0,188,0,0,8,2,0,0,0,20,0,29,35,2,0,0,1,6,0,0,0,14,4,1,0,9,0,1,2,27,0,26,16,2,13,0,2,0,1,5,1,8
0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,6,16,1,0,0,11,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,3,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,14,3,2,0,0,0,0,1,0,1,0,1,0,0,1,0
1,13,6,7,0,15,15,2,0,0,0,0,1,1,10,17,0,256,0,0,10,8,0,0,1,0,0,0,0,2,0,2,0,4,0,0,7,0,0,12,0,0,1,0,1,11,16,0,9,0,0,6,5,4,5,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,19,1,2,1,2,0,1,0,1,0,3,0,0,0,0,0,1,1,0,1,0,2,0,6,0,9,1,1,0
21,0,0,22,0,1,3,0,8,1,3,4,1,1,1,7,2,3,3,0,2,11,1,5,4,0,1,5,3,5,1,15,6,3,1,6,7,1,7,2,1,0,0,0,0,2,0,1,76,2,0,26,0,0,10,0,0,6,5,5,0,1,0,1,0,0,0,15,0,1,20,33,0,0,1,140,3,0,1,49,0,8,5,0,0,0,2,4,0,3,46,0,18,2,62,4,52,9,2,24
5,0,0,6,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,4,2,1,0,0,16,0,0,0,7,0,0,0,0,0,0,1,1,0,0,4,0,3,0,12,0,7,1,0,5
2,0,1,27,0,0,50,0,14,0,0,0,0,0,0,53,0,0,1,0,1,112,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,2,0,0,0,1,0,1,1,0,7,1,0,39,0,0,42,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,11,0,0,4,0,2,0,10,1,2,0,0,1
8,0,0,2,0,0,1,0,5,5,3,5,0,0,0,0,3,0,25,0,0,0,0,0,4,0,0,2,0,0,1,4,10,0,0,38,0,0,0,0,0,0,0,5,0,0,0,0,1,7,0,2,0,0,0,0,0,32,0,47,1,0,3,0,0,0,0,4,0,12,12,1,0,0,0,0,0,0,0,2,1,1,0,4,0,0,4,12,0,8,1,1,1,0,1,0,1,1,0,3
0,0,0,0,7,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,5,1,0,14,41,1,0,0,32,0,2,1,5,0,0,7,0,0,0,0,0,2,0,0,0,5,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,5,0,6,6,0,0,0,0,0,1,0,2,0,1,0,8,0,2,0,0,0,31,8,0,0,0,0,0,3,1,8,0,0,0,0,3,0
6,0,0,72,1,0,72,1,23,0,1,2,0,0,1,105,0,6,3,0,0,189,0,0,0,0,0,0,0,1,0,0,1,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,12,0,0,56,1,0,86,0,0,2,3,1,0,0,0,0,0,0,0,3,0,4,4,6,0,0,0,9,0,0,0,7,0,1,0,1,0,0,0,15,0,0,8,0,3,0,19,0,11,1,0,4
0,0,0,0,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,14,0,0,0,23,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,9,2,0,0,0,0,0,0,0,2,0,1,0,2,0,3,2,0,0,15,4,0,0,0,0,0,0,1,4,0,1,0,0,2,0
13,1,1,8,14,3,15,6,8,1,4,5,7,9,2,14,4,48,17,2,2,26,4,5,6,18,25,3,3,3,19,2,3,3,7,25,6,3,2,4,36,4,0,3,4,2,1,4,6,2,11,8,1,3,7,10,2,17,3,34,7,20,2,1,11,10,5,5,2,3,13,3,6,1,4,11,4,4,9,10,3,2,1,3,27,7,1,8,33,8,4,6,5,7,9,3,13,3,6,7
4,1,1,11,11,1,8,2,5,2,4,1,7,4,5,16,2,28,22,1,1,13,5,0,6,18,26,2,4,2,42,7,4,3,6,25,2,6,3,3,12,2,1,4,1,1,2,13,2,1,1,3,2,0,9,5,0,19,2,44,10,10,3,2,3,9,1,7,2,6,6,2,5,3,5,8,9,1,10,4,3,1,3,2,19,11,4,4,3,7,6,4,4,10,7,6,1,4,7,5
12,1,2,19,18,0,21,3,9,1,0,4,13,10,2,34,1,21,7,2,1,55,0,9,4,13,12,0,13,4,10,10,5,5,4,9,1,2,3,2,21,8,4,0,5,0,1,9,10,3,7,19,3,2,23,12,0,14,5,32,40,11,1,0,5,3,0,9,6,4,10,5,18,1,13,23,2,1,7,11,0,3,2,3,15,5,2,13,12,6,10,4,5,6,21,8,14,0,7,3
